epoch,loss,channel_size,p_mutate,mean_test_loss,mean_ground_truth_f1,ground_truth_acc,mean_student_error,mean_teacher_error,mean_protocol_diversity,mean_protocol_entropy,$p_{m}$,Meta Experiment Index,Experiment Index
16,1.0021467208862305,5,0.0,1.0021839141845703,1.0,1.0,0.00029689542134292424,0.0018867924809455872,1.0,7.222239013367687e-35,0.0,0,1
17,1.26493501663208,5,0.0,,,,,,,,0.0,0,1
18,1.0003020763397217,5,0.0,,,,,,,,0.0,0,1
19,1.0011463165283203,5,0.0,,,,,,,,0.0,0,1
20,1.0000739097595215,5,0.0,,,,,,,,0.0,0,1
21,1.0000100135803223,5,0.0,1.0000075101852417,1.0,1.0,6.557259553119366e-07,7.34691639081575e-06,1.0,7.222239013367687e-35,0.0,0,1
22,1.0000019073486328,5,0.0,,,,,,,,0.0,0,1
23,1.000000238418579,5,0.0,,,,,,,,0.0,0,1
24,1.000000238418579,5,0.0,,,,,,,,0.0,0,1
25,1.000000238418579,5,0.0,,,,,,,,0.0,0,1
26,1.000000238418579,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,1
27,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
28,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
29,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
30,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
31,1.0000004768371582,5,0.0,1.0000001192092896,1.0,1.0,3.156068260068423e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,1
32,1.000000238418579,5,0.0,,,,,,,,0.0,0,1
33,1.000000238418579,5,0.0,,,,,,,,0.0,0,1
34,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
35,1.000000238418579,5,0.0,,,,,,,,0.0,0,1
36,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,1
37,1.000000238418579,5,0.0,,,,,,,,0.0,0,1
38,1.0000003576278687,5,0.0,,,,,,,,0.0,0,1
39,1.000000238418579,5,0.0,,,,,,,,0.0,0,1
40,1.000000238418579,5,0.0,,,,,,,,0.0,0,1
41,1.000000238418579,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,1
42,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
43,1.000000238418579,5,0.0,,,,,,,,0.0,0,1
44,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
45,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
46,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,1
47,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
48,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
49,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
50,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,1
51,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,1
52,1.000000238418579,5,0.0,,,,,,,,0.0,0,1
53,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
54,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
55,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
56,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,1
57,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
58,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
59,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
60,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
61,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,1
62,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
63,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
64,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
65,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
66,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,1
67,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
68,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
69,1.0000001192092896,5,0.0,,,,,,,,0.0,0,1
70,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,1
1,3.8994712829589844,5,0.0,4.752048492431641,0.335,0.335,1.0991432666778564,0.6529088020324707,0.33333292603492737,1.6003745794296265,0.0,0,2
2,3.737950325012207,5,0.0,,,,,,,,0.0,0,2
3,3.751187801361084,5,0.0,,,,,,,,0.0,0,2
4,3.8430099487304688,5,0.0,,,,,,,,0.0,0,2
5,3.7479135990142822,5,0.0,,,,,,,,0.0,0,2
6,3.7472705841064453,5,0.0,4.044764518737793,0.3225,0.3225,1.104567527770996,0.9401987195014954,0.5,0.1600022315979004,0.0,0,2
7,3.6741397380828857,5,0.0,,,,,,,,0.0,0,2
8,3.456120014190674,5,0.0,,,,,,,,0.0,0,2
9,2.871605157852173,5,0.0,,,,,,,,0.0,0,2
10,2.3829610347747803,5,0.0,,,,,,,,0.0,0,2
11,1.7307971715927124,5,0.0,1.5670427083969116,0.83125,0.83125,0.2273254245519638,0.3397163450717926,1.0,7.222239013367687e-35,0.0,0,2
12,1.3779337406158447,5,0.0,,,,,,,,0.0,0,2
13,1.0054755210876465,5,0.0,,,,,,,,0.0,0,2
14,1.0033679008483887,5,0.0,,,,,,,,0.0,0,2
15,1.0007089376449585,5,0.0,,,,,,,,0.0,0,2
16,1.0000630617141724,5,0.0,1.0000507831573486,1.0,1.0,7.488400569855003e-06,4.342557804193348e-05,1.0,7.222239013367687e-35,0.0,0,2
17,1.0000052452087402,5,0.0,,,,,,,,0.0,0,2
18,1.0000005960464478,5,0.0,,,,,,,,0.0,0,2
19,1.0000009536743164,5,0.0,,,,,,,,0.0,0,2
20,1.000000238418579,5,0.0,,,,,,,,0.0,0,2
21,1.000000238418579,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,2
22,1.000000238418579,5,0.0,,,,,,,,0.0,0,2
23,1.000000238418579,5,0.0,,,,,,,,0.0,0,2
24,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
25,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
26,1.000000238418579,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,2
27,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
28,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
29,1.000000238418579,5,0.0,,,,,,,,0.0,0,2
30,1.000000238418579,5,0.0,,,,,,,,0.0,0,2
31,1.000000238418579,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,2
32,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
33,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
34,1.000000238418579,5,0.0,,,,,,,,0.0,0,2
35,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
36,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,2
37,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
38,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
39,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
40,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
41,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,2
42,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
43,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
44,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
45,1.000000238418579,5,0.0,,,,,,,,0.0,0,2
46,1.0000001192092896,5,0.0,1.0000001192092896,1.0,1.0,1.1920928955078125e-07,1.1920928955078125e-07,1.0,7.222239013367687e-35,0.0,0,2
47,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
48,1.0000001192092896,5,0.0,,,,,,,,0.0,0,2
