epoch,loss,channel_size,p_mutate,message_permutation,permutation_subset_size,channel_temp,mean_test_loss,mean_ground_truth_f1,ground_truth_acc,mean_student_error,mean_teacher_error,mean_protocol_diversity,mean_protocol_entropy,Subset Size,Meta Experiment Index,Experiment Index
145,1.1920930376163597e-07,5,0,True,2.0,0.3548133892335755,1.1920928955078125e-07,1.0,1.0,1.1920928955078125e-07,3.0936474800109863,1.0,7.222239013367687e-35,2,0,0
146,2.5720401026774198e-06,5,0,True,2.0,0.3467368504525317,,,,,,,,2,0,0
147,1.210719347000122e-07,5,0,True,2.0,0.3388441561392026,,,,,,,,2,0,0
148,1.1944383970785566e-07,5,0,True,2.0,0.3311311214825912,,,,,,,,2,0,0
149,1.1920928955078125e-07,5,0,True,2.0,0.3235936569296284,,,,,,,,2,0,0
150,1.2293457984924316e-07,5,0,True,2.0,0.316227766016838,1.1920928955078125e-07,1.0,1.0,1.1920928955078125e-07,2.6244683265686035,1.0,7.222239013367687e-35,2,0,0
151,1.1920928955078125e-07,5,0,True,2.0,0.3090295432513591,,,,,,,,2,0,0
152,0.2597155272960663,5,0,True,2.0,0.3019951720402017,,,,,,,,2,0,0
153,6.988257609918946e-06,5,0,True,2.0,0.2951209226666387,,,,,,,,2,0,0
154,1.4261138403526274e-07,5,0,True,2.0,0.2884031503126607,,,,,,,,2,0,0
155,1.214792320070046e-07,5,0,True,2.0,0.2818382931264454,1.2785197611719923e-07,1.0,1.0,0.14633285999298096,2.8128044605255127,0.9893749952316284,0.0034000573214143515,2,0,0
156,1.1926749721169472e-07,5,0,True,2.0,0.27542287033381674,,,,,,,,2,0,0
157,1.5826539367935766e-07,5,0,True,2.0,0.26915348039269166,,,,,,,,2,0,0
158,1.1920928955078125e-07,5,0,True,2.0,0.2630267991895383,,,,,,,,2,0,0
159,9.931911336025223e-06,5,0,True,2.0,0.2570395782768864,,,,,,,,2,0,0
160,1.192141070305297e-07,5,0,True,2.0,0.25118864315095807,1.1935830457332486e-07,1.0,1.0,1.1935830457332486e-07,2.2492687702178955,1.0,7.222239013367687e-35,2,0,0
161,1.1920928955078125e-07,5,0,True,2.0,0.2454708915685031,,,,,,,,2,0,0
162,1.1920928955078125e-07,5,0,True,2.0,0.23988329190194915,,,,,,,,2,0,0
163,1.1920928955078125e-07,5,0,True,2.0,0.23442288153199234,,,,,,,,2,0,0
164,1.1920928955078125e-07,5,0,True,2.0,0.22908676527677735,,,,,,,,2,0,0
165,1.3176088486943627e-07,5,0,True,2.0,0.22387211385683403,1.1920928955078125e-07,1.0,1.0,1.1920928955078125e-07,2.806382417678833,1.0,7.222239013367687e-35,2,0,0
166,1.1920928955078125e-07,5,0,True,2.0,0.21877616239495534,,,,,,,,2,0,0
167,1.1920928955078125e-07,5,0,True,2.0,0.21379620895022328,,,,,,,,2,0,0
168,1.1920928955078125e-07,5,0,True,2.0,0.20892961308540406,,,,,,,,2,0,0
169,1.1920931797249068e-07,5,0,True,2.0,0.204173794466953,,,,,,,,2,0,0
170,1.1920928955078125e-07,5,0,True,2.0,0.19952623149688803,1.1920928955078125e-07,1.0,1.0,0.06715879589319229,2.535632610321045,0.9950000047683716,0.0016000269679352641,2,0,0
171,4.3870440435966884e-07,5,0,True,2.0,0.1949844599758046,,,,,,,,2,0,0
172,1.1920928955078125e-07,5,0,True,2.0,0.1905460717963248,,,,,,,,2,0,0
173,1.192093463942001e-07,5,0,True,2.0,0.18620871366628683,,,,,,,,2,0,0
174,1.1920928955078125e-07,5,0,True,2.0,0.18197008586099847,,,,,,,,2,0,0
175,1.204607542604208e-07,5,0,True,2.0,0.1778279410038924,1.2300908736051497e-07,1.0,1.0,1.2300908736051497e-07,2.841135025024414,1.0,7.222239013367687e-35,2,0,0
176,1.1920928955078125e-07,5,0,True,2.0,0.17378008287493754,,,,,,,,2,0,0
177,1.1920928955078125e-07,5,0,True,2.0,0.16982436524617445,,,,,,,,2,0,0
178,1.1920928955078125e-07,5,0,True,2.0,0.16595869074375608,,,,,,,,2,0,0
179,1.1920928955078125e-07,5,0,True,2.0,0.16218100973589303,,,,,,,,2,0,0
180,1.1920928955078125e-07,5,0,True,2.0,0.15848931924611143,1.1920928955078125e-07,1.0,1.0,1.1920928955078125e-07,2.8181159496307373,1.0,7.222239013367687e-35,2,0,0
181,1.1920928955078125e-07,5,0,True,2.0,0.1548816618912482,,,,,,,,2,0,0
182,1.1920928955078125e-07,5,0,True,2.0,0.1513561248436209,,,,,,,,2,0,0
183,1.1920928955078125e-07,5,0,True,2.0,0.14791083881682082,,,,,,,,2,0,0
184,1.1920928955078125e-07,5,0,True,2.0,0.14454397707459285,,,,,,,,2,0,0
185,1.1920928955078125e-07,5,0,True,2.0,0.14125375446227542,1.1920928955078125e-07,1.0,1.0,1.1920928955078125e-07,3.092822313308716,1.0,7.222239013367687e-35,2,0,0
186,0.00024606179795227945,5,0,True,2.0,0.1380384264602885,,,,,,,,2,0,0
187,1.1920928955078125e-07,5,0,True,2.0,0.13489628825916536,,,,,,,,2,0,0
188,1.1920928955078125e-07,5,0,True,2.0,0.13182567385564073,,,,,,,,2,0,0
189,1.1920928955078125e-07,5,0,True,2.0,0.12882495516931344,,,,,,,,2,0,0
